,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.43,task_arithmetic_decompose,78.43,78.82000000000001,73.05,53.43,0.28,83.49,28.03
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.43,task_arithmetic_decompose,78.43,78.82000000000001,72.69,53.43,0.28,83.37,28.08
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.43,task_arithmetic_decompose,78.43,78.82000000000001,72.69,53.790000000000006,0.28,83.37,28.050000000000004
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.43,task_arithmetic_decompose,78.43,78.82000000000001,72.69,54.15,0.28,83.37,28.12
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.53,task_arithmetic_decompose,78.43,78.82000000000001,72.69,54.15,0.28,83.37,28.17
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.43,task_arithmetic_decompose,78.24,78.72,72.87,54.15,0.28,83.49,27.78
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.43,78.72,72.69,53.790000000000006,0.28,83.6,27.97
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.43,78.62,72.5,54.15,0.28,83.6,28.71
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,67.23,task_arithmetic_decompose,78.27,78.62,72.87,52.35,0.28,83.37,27.84
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,70.03,task_arithmetic_decompose,78.44,78.72,65.9,45.85,0.29,83.94,-6.69
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.03,task_arithmetic_decompose,77.07000000000001,75.52,62.99,46.57,0.29,82.91,-15.58
